id,name,cin,city,created_at,postal_code,street,street_number,updated_at,uri
429345,"Základná škola s materskou školou Podskalka 58, Humenné",3794796,Humenné,2019-07-07T04:01:45.477Z,06601,Podskalka,58,2019-07-07T04:01:45.477Z,ico://sk/03794796
429346,"Základná škola Eleny Maróthy Šoltésovej, M. R. Štefánika 3, Krupina",37830813,Krupina,2019-07-07T04:01:45.481Z,96301,M.R. Štefánika,3,2019-07-07T04:01:45.481Z,ico://sk/37830813
429347,"Premonštrátske gymnázium Kováčska 28, Košice",42319234,Košice - mestská časť Staré Mesto,2019-07-07T04:01:45.485Z,04001,Kováčska,28,2019-07-07T04:01:45.485Z,ico://sk/42319234
429348,"Základná škola s materskou školou Sama Vozára Železničná 26, Hrachovo",37831747,Hrachovo,2019-07-07T04:01:45.490Z,98052,Železničná,26,2019-07-07T04:01:45.490Z,ico://sk/37831747
429349,"Spojená škola Školská 54, Sládkovičovo",36094234,Sládkovičovo,2019-07-07T04:01:45.497Z,92521,Školská,54,2019-07-07T04:01:45.497Z,ico://sk/36094234
429350,"Základná škola s materskou školou Michala Rešetku, Horná Súča 242",36125881,Horná Súča,2019-07-07T04:01:45.503Z,91333,,,2019-07-07T04:01:45.503Z,ico://sk/36125881
429351,"Základná škola s materskou školou Alexandra Vagáča Štúrova 12, Detva",42302498,Detva,2019-07-07T04:01:45.507Z,96212,Štúrova,12,2019-07-07T04:01:45.507Z,ico://sk/42302498
429352,"Súkromná obchodná akadémia Jarná 13, Žilina",36137430,Žilina,2019-07-07T04:01:45.511Z,01001,Jarná,13,2019-07-07T04:01:45.511Z,ico://sk/36137430
429353,"Základná škola Istvána Illésházyho s vyučovacím jazykom maďarským - Illésházy István Alapiskola, Nový Život",36094111,Nový Život,2019-07-07T04:01:45.515Z,93038,,1,2019-07-07T04:01:45.515Z,ico://sk/36094111
429354,"Katolícka stredná pedagogická škola sv. Cyrila a Metoda Južná trieda 48, Košice",35564024,Košice - mestská časť Juh,2019-07-07T04:01:45.519Z,04001,Južná trieda,48,2019-07-07T04:01:45.519Z,ico://sk/35564024
429355,"Materská škola pri zdravotníckom zariadení Limbová 1, Bratislava",31769161,Bratislava - mestská časť Nové Mesto,2019-07-07T04:01:45.523Z,83340,Limbová,1,2019-07-07T04:01:45.523Z,ico://sk/31769161
429356,"Stredná zdravotnícka škola Záhradnícka 44, Bratislava",607304,Bratislava - mestská časť Ružinov,2019-07-07T04:01:45.527Z,82108,Záhradnícka,44,2019-07-07T04:01:45.527Z,ico://sk/00607304
429357,"Základná škola Lesnícka 1, Prešov",37877160,Prešov,2019-07-07T04:01:45.531Z,08005,Lesnícka,1,2019-07-07T04:01:45.531Z,ico://sk/37877160
429358,Materská škola,35546611,Spišská Nová Ves,2019-07-07T04:01:45.535Z,05201,Slovenská,14,2019-07-07T04:01:45.535Z,ico://sk/35546611_710031335
429359,Materská škola,35546611,Spišská Nová Ves,2019-07-07T04:01:45.538Z,05201,Rybničná,31,2019-07-07T04:01:45.538Z,ico://sk/35546611_710031270
