id,name,cin,city,created_at,postal_code,street,street_number,updated_at,uri
421694,"JUDr. Alena Korenecová, notár",31843492,Topoľčany,2019-07-07T04:00:19.073Z,955 01,Moyzesova 3,,2019-07-07T04:00:19.073Z,ico://sk/31843492
421696,"JUDr. Vladimír Košík, notár",31119271,Partizánske,2019-07-07T04:00:19.090Z,958 01,Nám. SNP 212/4,,2019-07-07T04:00:19.090Z,ico://sk/31119271
421697,"JUDr. Friderika Košinová, notár",31873065,Komárno,2019-07-07T04:00:19.094Z,945 01,K. Thalyho 13,,2019-07-07T04:00:19.094Z,ico://sk/31873065
421699,"JUDr. Katarína Košťálová, notár",31872301,Levice,2019-07-07T04:00:19.100Z,934 01,Na Bašte 1,,2019-07-07T04:00:19.100Z,ico://sk/31872301
421701,"JUDr. Roman Vidovenec, notár",36082759,Bratislava,2019-07-07T04:00:19.113Z,831 04,Bajkalská 5/B,,2019-07-07T04:00:19.113Z,ico://sk/36082759
421707,"JUDr. Eva Vyskoková, notár",42282446,Prievidza,2019-07-07T04:00:19.237Z,971 01,M.Mišíka I.2752/4a,,2019-07-07T04:00:19.237Z,ico://sk/42282446
421724,Obec Dlhé Klčovo,332357,Dlhé Klčovo,2019-07-07T04:00:19.304Z,09413,Dlhá,84,2019-07-07T04:00:19.304Z,ico://sk/00332357
421741,Evanjelická spojená škola Martin,42224055,Martin,2019-07-07T04:00:19.449Z,03601,M.R.Štefánika,17,2019-07-07T04:00:19.449Z,ico://sk/42224055
421752,Obec Pčoliné,323903,Pčoliné,2019-07-07T04:00:19.528Z,06735,Pčoliné,,2019-07-07T04:00:19.528Z,ico://sk/00323903
421775,"JUDr. Jozef Kreml, notár",34048839,Skalica,2019-07-07T04:00:19.744Z,909 01,Gorkého 27/22,,2019-07-07T04:00:19.744Z,ico://sk/34048839
421778,"JUDr. Andrej Kubaščík, notár",31928617,Kysucké Nové Mesto,2019-07-07T04:00:19.760Z,024 01,Nám. Slobody 2288,,2019-07-07T04:00:19.760Z,ico://sk/31928617
421779,"JUDr. Želmíra Boborová, notár",37955403,Zvolen,2019-07-07T04:00:19.766Z,960 01,Námestie SNP 46,,2019-07-07T04:00:19.766Z,ico://sk/37955403
421785,"JUDr. Marta Botková, notár",31871607,NOVÉ ZÁMKY,2019-07-07T04:00:19.798Z,940 52,Björnsonova 2,,2019-07-07T04:00:19.798Z,ico://sk/31871607
421850,"JUDr. Ľudmila Kutišová, notár",42016321,Považská Bystrica,2019-07-07T04:00:20.166Z,017 01,Nám. A. Hlinku 36/9,,2019-07-07T04:00:20.166Z,ico://sk/42016321
421851,Mária Kvasnovská - OVM,31871666,Komárno,2019-07-07T04:00:20.170Z,945 01,Jókaiho 16,,2019-07-07T04:00:20.170Z,ico://sk/31871666_10001
421860,"Mgr. Oľga Czuczorová, notár",37985621,Galanta,2019-07-07T04:00:20.293Z,924 00,Nová 25,,2019-07-07T04:00:20.293Z,ico://sk/37985621
421863,"JUDr. Katarína Čarnecká, notár",36147044,Čadca,2019-07-07T04:00:20.306Z,022 01,Slovenských dobrovoľníkov 2048,,2019-07-07T04:00:20.306Z,ico://sk/36147044
421864,"JUDr. Anna Černáková, notár",31971849,Michalovce,2019-07-07T04:00:20.310Z,071 01,Sama Chalupku 1,,2019-07-07T04:00:20.310Z,ico://sk/31971849
421884,"Materská škola Roháčik, Ivanka pri Nitre",31827005,Ivanka pri Nitre,2019-07-07T04:00:20.388Z,95112,Novozámocká,,2019-07-07T04:00:20.388Z,ico://sk/31827005
421920,"JUDr. Božena Loneková, notár",35665831,Námestovo,2019-07-07T04:00:20.610Z,029 01,Cyrila a Metoda 329/6,,2019-07-07T04:00:20.610Z,ico://sk/35665831
421929,"JUDr. Zuzana Matejovová, notár",42121183,Nitra,2019-07-07T04:00:20.663Z,949 01,Fraňa Mojtu 8,,2019-07-07T04:00:20.663Z,ico://sk/42121183
421933,"JUDr. Miriam Danczi, notár",42044791,Nitra,2019-07-07T04:00:20.688Z,949 01,Štefánikova tr. 9,,2019-07-07T04:00:20.688Z,ico://sk/42044791
421935,"JUDr. Pavol Dorič PhD., notár",42098106,Gelnica,2019-07-07T04:00:20.708Z,065 01,Banícke námestie 57,,2019-07-07T04:00:20.708Z,ico://sk/42098106
421995,"JUDr. Darina Hornáčeková, notár",42311098,Zvolen,2019-07-07T04:00:22.867Z,960 01,Bystrický rad 314/69,,2019-07-07T04:00:22.867Z,ico://sk/42311098
422005,Mgr. Michal Dzamko - OVM,31119263,Nové Mesto n / Váhom,2019-07-07T04:00:22.901Z,915 01,Čsl. Armády 4,,2019-07-07T04:00:22.901Z,ico://sk/31119263_10001
422006,"JUDr. Juraj Ehn, notár",37921126,Bytča,2019-07-07T04:00:22.904Z,014 01,Štefánikova 217,,2019-07-07T04:00:22.904Z,ico://sk/37921126
422065,"JUDr. Helena Hrušovská, notár",42622511,Bratislava,2019-07-07T04:00:27.355Z,811 09,Grösslingova 58,,2019-07-07T04:00:27.355Z,ico://sk/42622511
422077,"JUDr. Miroslav Gregor, notár",34027220,Trnava,2019-07-07T04:00:27.416Z,917 01,Dolné bašty 2,,2019-07-07T04:00:27.416Z,ico://sk/34027220
422138,"JUDr. Marie Ježková, notár",37827278,Brezno,2019-07-07T04:00:27.654Z,977 01,Nám.M.R.Štefánika 48,,2019-07-07T04:00:27.654Z,ico://sk/37827278
422142,"JUDr. Alžbeta Juríková, notár",31786014,Bratislava,2019-07-07T04:00:27.666Z,811 03,Župné nám. 9,,2019-07-07T04:00:27.666Z,ico://sk/31786014
422146,"JUDr. Margita Kakačková, notár",17067928,Dolný Kubín,2019-07-07T04:00:27.680Z,026 01,Ťatliaka č. 2051/8,,2019-07-07T04:00:27.680Z,ico://sk/17067928
422148,"JUDr. Jozefína Atanasová, notár",35527200,Košice - mestská časť Staré Mesto,2019-07-07T04:00:27.687Z,040 01,Hlavná 58,,2019-07-07T04:00:27.687Z,ico://sk/35527200
422204,"JUDr. Viera Kalinová, notár",17067383,Banská Bystrica,2019-07-07T04:00:27.948Z,974 01,Komenského 3,,2019-07-07T04:00:27.948Z,ico://sk/17067383
422218,Úrad vlády Slovenskej republiky - ÚPVS,151513,Bratislava - mestská časť Staré Mesto,2019-07-07T04:00:27.998Z,81370,Námestie slobody,1,2019-07-07T04:00:27.998Z,ico://sk/00151513_10001
422268,"JUDr. Juliana Pašková, notár",31946054,Trebišov,2019-07-07T04:00:28.239Z,075 01,M. R. Štefánika 2393/29,,2019-07-07T04:00:28.239Z,ico://sk/31946054
422273,"JUDr. Eleonóra Petrová, notár",31871577,Nové Zámky,2019-07-07T04:00:28.256Z,940 01,Podzámska 29,,2019-07-07T04:00:28.256Z,ico://sk/31871577
422275,"JUDr. Zdenko Piják, notár",31928323,Žilina,2019-07-07T04:00:28.263Z,010 01,D.Dlabača 39,,2019-07-07T04:00:28.263Z,ico://sk/31928323
422276,"Mgr. Oľga Piskoríková, notár",35511133,Poprad,2019-07-07T04:00:28.266Z,058 01,Štefánikova 96/63,,2019-07-07T04:00:28.266Z,ico://sk/35511133
422314,Obec Svodín - Matričný úrad,309281,,2019-07-07T04:00:28.425Z,94354,Hlavná,1,2019-07-07T04:00:28.425Z,ico://sk/00309281_10001
422329,"JUDr. Alžbeta Podhorská, notár",37872095,Poprad,2019-07-07T04:00:28.529Z,058 01,Mnoheľova 839/10,,2019-07-07T04:00:28.529Z,ico://sk/37872095
422332,"JUDr. Eva Pršebice, notár",35548991,Kráľovský Chlmec,2019-07-07T04:00:28.583Z,077 01,Hlavná 147 A,,2019-07-07T04:00:28.583Z,ico://sk/35548991
422336,JUDr. Luciana Rebrová PhD. - OVM,30803845,Bratislava,2019-07-07T04:00:28.599Z,851 01,Einsteinova 24,,2019-07-07T04:00:28.599Z,ico://sk/30803845_10001
422391,"JUDr. Milan Rovňák, notár",42154545,Piešťany,2019-07-07T04:00:28.871Z,921 01,Sládkovičova 12,,2019-07-07T04:00:28.871Z,ico://sk/42154545
422402,Výskumný ústav vodného hospodárstva,156850,,2019-07-07T04:00:28.951Z,81249,Nábr.arm.gen.L.Svobodu,,2019-07-07T04:00:28.951Z,ico://sk/00156850
422440,"JUDr. Oľga Folbová, notár",42356024,Bratislava - mestská časť Ružinov,2019-07-07T04:00:29.158Z,,Hraničná,18,2019-07-07T04:00:29.158Z,ico://sk/42356024
