_id,ICO,URI,Nazov,Dátum poslednej aktualizácie: 30.6.2019
164,37809750,ico://sk/37809750,"Základná škola s materskou školou, Kolárovice",
165,37950011,ico://sk/37950011,Mestké služby Jelšava,
166,690538,ico://sk/00690538,Obec Ľubotice,
167,800163,ico://sk/00800163,Obec Šterusy,
168,37812785,ico://sk/37812785,Základná škola s materskou školou Povina 323,
169,598470,ico://sk/00598470,Ústav normálnej a patologickej fyziológie SAV,
170,323136,ico://sk/00323136,Obec Klenová,
171,328570,ico://sk/00328570,Obec Muránska Zdychava,
172,328863,ico://sk/00328863,Obec Šivetice,
173,34058974,ico://sk/34058974,"Špeciálna základná škola, Pivovarská 455/62, Ilava",
174,324400,ico://sk/00324400,Obec Kysak,
175,318817,ico://sk/00318817,Obec Husiná,
176,35611201,ico://sk/35611201,Základná škola s materskou školou Radošina,
177,37808818,ico://sk/37808818,Základná škola s materskou školou Oravský Podzámok 51,
178,30798841,ico://sk/30798841_3201,Centrum právnej pomoci - Kancelária Banská Bystrica,
179,31780296,ico://sk/31780296,Medzinárodné laserové centrum,
180,37811550,ico://sk/37811550,"Základná umelecká škola, M. R. Štefánika, Čadca",
181,160695,ico://sk/00160695,"Gymnázium Viliama Paulinyho-Tótha Malá hora 3, Martin",
182,306304,ico://sk/00306304,Obec Vinohrady nad Váhom,
183,30230381,ico://sk/30230381,"Obec Lúčky, okres Žiar nad Hronom",
184,99187690,ico://sk/99187690,Test OVM_2_2_17,
185,327727,ico://sk/00327727,Obec Ruská Nová Ves,
186,48485357,ico://sk/48485357_00620,"Správca - Dropčová Andrea, Mgr.",
187,182885,ico://sk/00182885,Mestská knižnica mesta Piešťany,
188,162370,ico://sk/00162370,Stredná odborná škola veterinárna Nitra,
189,332020,ico://sk/00332020,Obec Veľaty,
190,34058893,ico://sk/34058893,"Špeciálna základná škola, Radlinského 1605, Bánovce nad Bebravou",
191,310239,ico://sk/00310239,Obec Bojná,
